# q	Intensity	Error	qError
1.343694242408463024e+00 1.632956928959389264e-01 2.148571078803028153e-02 5.994101621248875664e-05
1.349157747710896915e+00 1.518354917253392777e-01 2.164649509089745794e-02 5.947403222011562053e-05
1.354565765270395961e+00 1.651428328197177553e-01 2.170333621714954156e-02 6.063035793292221394e-05
1.359945936778087283e+00 2.159970203223770258e-01 2.190486931188612152e-02 6.066533311961521486e-05
1.365391998224046111e+00 1.747655380391960334e-01 2.134944003118195363e-02 5.977720564942895747e-05
1.370795738905251193e+00 1.582875152174129663e-01 2.208204570181935070e-02 6.192618069937021066e-05
1.376158867233923777e+00 1.734952874363547282e-01 2.169574017370298064e-02 6.056224267317152272e-05
1.381534233104198428e+00 1.783384429900403134e-01 2.233379169325688113e-02 6.199819556378148924e-05
1.386991258264408167e+00 1.798788542145433600e-01 2.154491899796108847e-02 6.032333435496827775e-05
1.392503365288352279e+00 1.650040467060215343e-01 2.182217369417029443e-02 6.109123680580256209e-05
1.397837919769888027e+00 1.859328635412814956e-01 2.267031283510596851e-02 6.337491201328054977e-05
1.403143149980278226e+00 1.752355099234569058e-01 2.176462472248805527e-02 6.137662226921570510e-05
1.408622702059144194e+00 2.131963380807380404e-01 2.230945180686118995e-02 6.173937813022809722e-05
1.414070954788755330e+00 2.019624316008311604e-01 2.268589250841073629e-02 6.210767779338446763e-05
1.419461651110860201e+00 1.589603292013275215e-01 2.241598100144494635e-02 6.214465777192711572e-05
1.424903253312204354e+00 1.692752097604252048e-01 2.214949008188314347e-02 6.185046629202335720e-05
1.430299238666158823e+00 1.645060399168910559e-01 2.220896206034960255e-02 6.166922183179128036e-05
1.435668705898795583e+00 1.822336934846372491e-01 2.242583864697130988e-02 6.236841741932110984e-05
1.441054750942251328e+00 1.635045931526163954e-01 2.225700850613525697e-02 6.110110596401457765e-05
1.446462818610778411e+00 1.420020582196225012e-01 2.202280711736149046e-02 6.167203949465648906e-05
1.451936501294346371e+00 1.673390165408361052e-01 2.151667154742185201e-02 6.045038190910845591e-05
1.457359866745661758e+00 1.478006556090779300e-01 2.164873316086857180e-02 6.142508541223318306e-05
1.462740212859021449e+00 1.376852890037367216e-01 2.178296513682561469e-02 6.125002984779377669e-05
1.468144471457462297e+00 1.711455952817633186e-01 2.161785240631638322e-02 6.086908144892901149e-05
1.473518732033627376e+00 1.336475427641725666e-01 2.235577053780183482e-02 6.207853654453279974e-05
1.478948286914337773e+00 1.740206216232321190e-01 2.170646175432723243e-02 6.043196846102835012e-05
1.484395429159152124e+00 1.759397563408940102e-01 2.184916948123342278e-02 6.193684233406772887e-05
1.489786467108412005e+00 1.626466157802571866e-01 2.187045287171253752e-02 6.165130475465291978e-05
1.495185911206293294e+00 1.530445596382789542e-01 2.190129913004800269e-02 6.158255021819814576e-05
1.500536726406738630e+00 1.731470394258545764e-01 2.245375722019374992e-02 6.282760036175682268e-05
1.505932698676854864e+00 1.946863266511045520e-01 2.175588743003844042e-02 6.102826468063424767e-05
1.511370572024224979e+00 1.901955436170171543e-01 2.222274950886188663e-02 6.268085115941476263e-05
1.516808879056463555e+00 1.808208808848220661e-01 2.146569758048667842e-02 6.131300805258052143e-05
1.522255939266117686e+00 1.874204966048171050e-01 2.191601288582536652e-02 6.242618722280026658e-05
1.527637505713612009e+00 1.617463352037041835e-01 2.201126815519173149e-02 6.279888547588218330e-05
1.532989115555085213e+00 1.758111826807037814e-01 2.174274027697828404e-02 6.239385279251697953e-05
1.538384730430289560e+00 1.639154156515914285e-01 2.229466816979058102e-02 6.299001623822771362e-05
1.543788480313084799e+00 1.882380861435287711e-01 2.199854639341685542e-02 6.214507911591959444e-05
1.549214290421601969e+00 1.701614700261131763e-01 2.225542729464887251e-02 6.295703595350792578e-05
1.554650333600347656e+00 1.616602186750422665e-01 2.203863759056409743e-02 6.255194918254727626e-05
1.560016128447410111e+00 1.857892708371675083e-01 2.239401295495418651e-02 6.349203138098585776e-05
1.565384633297319139e+00 1.894459131269137508e-01 2.224993920189596852e-02 6.318967754291892659e-05
1.570805541054617338e+00 1.696913678799554792e-01 2.197787067125005558e-02 6.256098298845403261e-05
1.576237562966666506e+00 1.824612707845062465e-01 2.271480704501515485e-02 6.361365792062919332e-05
